Stock Code,Name of Securities
08311,PERFECT OPT
08313,ZACD
08315,CEN PLAZA HOTEL
08316,CHINA HONGBAO
08317,FINET GROUP
08319,EXPERT SYS
08320,AEC GROUP
08321,TAI KAM HLDGS
08326,TK NEW ENERGY
08328,XY ELEC STORAGE
08329,NEP INTERLONG
08331,P.B. GROUP
08333,ASTRUM FIN
08337,DIRECTEL
08340,ZIJING INTL FIN
08341,AESO HOLDING
08347,F8 ENT
08348,BINHAI TEDA
08349,GUIXIN GROUP
08350,WELL LINK SEC
08356,TSUN YIP HLDGS
08357,REPUBLIC HC
08360,BASIC H NEWLIFE
08362,WINNING TOWER
08363,SDM EDUCATION
08365,HATCHER GROUP
08366,ZJ UNITED INV
08367,SIMPLICITY HLDG
08368,CREATIVE CHINA
08370,ZHI SHENG GP
08371,TASTEGOURMET GP
08372,GBG HOLDINGS
08373,INDIGO STAR
08375,DATA UNION CAP
08377,HARBOUR EQUINE
08379,PRIME INTEL
08385,PROSPEROUSPRINT
08391,CORNERSTONE TEC
08392,SATU HOLDINGS
08395,ZXZN QI-HOUSE
08400,ASIA PIONEER
08401,STREAM IDEAS
08402,PLATEAU TL
08403,DOWWAY
08406,CHINA ORAL IND
08411,K W NELSON GP
08412,NEW AMANTE
08413,ASIA GROCERY
08416,HM INTL HLDGS
08417,DADI EDU
08418,OPTIMA AUTO
08419,AV PROMOTIONS
08420,NEXION TECH
08422,WT GROUP
08423,CHI HO DEV
08425,HING MING HLDGS
08426,MODERN LIVING
08427,WS-SK TAR-400
08428,CBK HOLDINGS
08429,SV VISION
08430,C&N HOLDINGS
08431,HAO BAI INTL
08432,BAR PACIFIC
08436,TAKBO GROUP
08437,RMH HOLDINGS
08439,SOMERLEY CAP
08445,NOBLE ENG GP
08446,BRIGHTSTAR TECH
08447,MS CONCEPT
08448,UNI PRINTSHOP
08450,EDICO HOLDINGS
08451,SUNLIGHT HLDGS
08452,FY FINANCIAL
08455,LAI GROUP
08456,MANSION INTL
08460,BASETROPHY GP
08462,OMNIBRIDGE HLDG
08471,REACH NEW HLDGS
08472,LAPCO HOLDINGS
08473,MI MING MART
08475,E-STATION GTECH
08476,OCEAN ONE HLDG
08480,FURNIWEB
08481,SHENGLONG INTL
08482,WAN LEADER
08483,MAX SIGHT GROUP
08487,ISP GLOBAL
08489,GP LOGISTICS
08490,NICHE-TECH SEMI
08491,COOL LINK
08493,DRAGON KING GP
08495,1957 & CO.
08496,GLOBAL UIN
08500,ICONCULTURE
08501,SANBASE CORP
08502,OCEAN LINE PORT
08507,I.CENTURY HLDG
08509,WINE'S LINK
08510,TOPSTANDARDCORP
08511,MIN FU INTL
08512,HYFUSIN GROUP
08513,MAXWIN INT HLDG
08516,GRAND TALENTS
08519,XINXIANG ERA
08521,WEBX INTL HLDGS
08525,BAIYING HOLDING
08526,WING FUNG GROUP
08527,JLOGO HLDGS
08529,UBOT HOLDING
08532,POLYFAIR HLDGS
08535,VISTAR HOLDINGS
08536,TL NATURAL GAS
08537,CHONG FAI JEWEL
08540,VICTORY SEC
08545,AMUSE GROUP
08547,PACIFIC LEGEND
08566,WS-SK TAR-1200
08601,BOLTEK
08603,FAMEGLOW
08606,KINETIX SYSTEMS
08611,MINDTELL TECH
08612,WORLD SUPER
08613,ORIENTAL PAY
08616,SUNRAY ENG GP
08619,NIU HOLDINGS
08620,AE LOGISTICS
08621,METROPOLIS CAP
08622,HUAKANG BIOMED
08623,CHINA SAFTOWER
08627,ORANGE TOUR
08629,SYNTRUST GK
08631,YUFENGCHANG HLD
08635,ELEPHANT HLDGS
08637,METASURFACE
08645,BYTE META
08646,CHINA HONGGUANG
08657,TRUE PARTNER
08659,YIK WO INTL
08668,YING HAI GROUP
09001,PP CNUSDPROP-U
09008,BOS HSK BTC-U
09009,BOS HSK ETH-U
09010,ISHARES AXJ-U
09011,A ICBCCICCUSD-U
09040,GX MSCI CHINA-U
09042,CAM BTC-U
09046,CAM ETH-U
09047,F SSIFIRONORE-U
09064,GX APAC-U
09067,ISHARESHSTECH-U
09069,CAM HSBIOTECH-U
09070,PING AN HKDIV-U
09072,AMOVA INET-U
09074,ISHARESMSCITW-U
09075,GX ASUSD BOND-U
09077,PREMIA UST-U
09078,PREMIA UST A-U
09081,VALUEGOLD ETF-U
09084,A GX INDIA-U
09086,CAM NASDAQ100-U
09088,CAM HS TECH-U
09096,A CSOP USD MM-U
09104,A GX EM ASIA-U
09107,BOS 20 UST A-U
09115,ISHARESHSI-U
09125,ISHARESSDCPBB-U
09141,CAM ASIA IGB-U
09146,CAM 20 UST-U
09151,PREMIA STAR50-U
09156,BOS 20 UST-U
09159,PREMIA TW50A-U
09167,ICBCCSOPCHINA-U
09173,PP CN NEWECON-U
09177,PP CGBOND HDG-U
09179,HGI ETH-U
09181,PREMIAASIATEC-U
09187,SAMSUNG REITS-U
09188,CAM CSI300-U
09191,GX CN SEMICON-U
09195,HS S&P500-U
09196,A BOS USD MM-U
09311,XI2CSOPCOIN-U
09347,XI2CSOPSMSN-U
09366,XI2CSOPTSLA-U
09388,XI2CSOPNVDA-U
09399,XI2CSOPMSTR-U
09403,CAM HSI ESG-U
09404,CAM MSCIINDIA-U
09411,PP ASIA IGUSD-U
09415,A GXS&P500CC-U
09425,MBC ETH-U
09430,MBC BTC-U
09437,BOS CSOE HIDV-U
09439,HGI BTC-U
09440,GX 0-3M UST-U
09446,CAM 20 UST A-U
09450,GX 3-5Y UST-U
09455,INVESCO QQQ-U
09478,PPKSA G SUKUK-U
09600,NEWLINK TECH
09606,DUALITYBIO-B
09608,SUNDY SERVICE
09616,NEUTECH GROUP
09618,JD-SW
09626,BILIBILI-W
09633,NONGFU SPRING
09636,JF SMARTINVEST
09638,FERRETTI
09639,WING LEE DEV
09658,SUPER HI
09660,HORIZONROBOT-W
09663,SINOSYNERGY
09666,JINKE SERVICES
09668,CBHB
09669,BEISEN HOLDING
09676,SHIYUE DAOTIAN
09677,WEIHAI BANK
09678,UNISOUND
09680,CHENQI TECH
09686,XIKANG CLOUD
09688,ZAI LAB
09689,JTF INTL
09690,TUHU-W
09696,TIANQI LITHIUM
09698,GDS-SW
09699,SF INTRA-CITY
09711,XL2CSOPCOIN-U
09747,XL2CSOPSMSN-U
09766,XL2CSOPTSLA-U
09777,XL2CSOPBRKB-U
09788,XL2CSOPNVDA-U
09799,XL2CSOPMSTR-U
09801,ISHARES CHINA-U
09803,PP BEDROCK-U
09804,PREMIA VIET-U
09806,GX CN CONSUME-U
09807,GX CN ROBO&AI-U
09809,GX CN CLN EN-U
09810,PREMIAEMASEAN-U
09812,SAMSUNGCDGN-U
09814,SAMSUNG FANG-U
09817,PP CGBOND-U
09820,GX CN BIOTECH-U
09826,GX CN CLOUD-U
09829,ISHARESCGB-U
09834,ISHARESND100-U
09836,ISHARES INDIA-U
09839,CAM MSCI A50-U
09840,SPDR GOLD TRT-U
09845,GX CN EV BATT-U
09846,ISHARESCSI300-U
09857,LINMON MEDIA
09858,YOURAN DAIRY
09860,ADICON HOLDINGS
09863,LEAPMOTOR
09866,NIO-SW
09868,XPENG-W
09869,HELENS
09877,JENSCARE-B
09878,HUITONGDA NET
09879,MIGAO GROUP
09880,UBTECH ROBOTICS
09881,RONGTA TECH
09882,BEST LINKING
09885,YSB
09886,DINGDANG HEALTH
09887,LEADS BIOLABS-B
09888,BIDU-SW
09889,DRCB
09890,TANWAN
09893,PIZU GROUP
09896,MNSO
09898,WB-SW
09899,NETEASE MUSIC
09900,ZCLOUD TECH-NEW
09901,NEW ORIENTAL-S
09906,HONLIV HEALTH
09908,JIAXING GAS
09909,POWERLONG CM
09911,NEWBORNTOWN
09913,CHI KAN HLDGS
09916,XINGYE WULIAN
09918,WISE ALLY INTL
09919,ACTIVATION GP
09922,JIUMAOJIU
09923,YEAHKA
09926,AKESO
09928,TIMES NEIGHBOR
09929,SEM HLDGS
09930,HORIZON CD
09933,GHW INTL
09936,XIMEI RESOURCES
09938,WAH WO HOLDINGS
09939,KINTOR PHARMA-B
09955,CLOUDR
09956,ANE
09958,LITIAN PICTURES
09959,LINKLOGIS-W
09960,KINDSTAR GLOBAL
09961,TRIP.COM-S
09963,TRANSTECH
09966,ALPHAMAB-B
09968,HUIJING HLDGS
09969,INNOCARE
09978,FINELAND LIVING
09979,GREENTOWN MGMT
09982,CENTRALCHINA MT
09983,CC NEW LIFE
09985,WL DELICIOUS
09986,DASHAN EDU
09987,YUM CHINA
09988,BABA-W
09989,HEPALINK
09990,ARCHOSAUR GAMES
09991,BAOZUN-W
09992,POP MART
09993,RADIANCE HLDGS
09995,REMEGEN
09996,PEIJIA-B
09997,KANGJI MEDICAL
09998,KWAN YONG
09999,NTES-S
10461,JPNZDHK@EP2509A
10463,JPNZDHK@EC2509A
10488,JPAUDHK@EC2509A
10491,BPNQ100@EC2509A
10492,BPNQ100@EP2509A
10524,JPYENHK@EC2509A
10528,JPGBPHK@EC2509A
10529,JPGBPUS@EC2509A
10530,JPYENHK@EP2509A
10531,JPUSYEN@EC2509A
10532,JPUSYEN@EP2509A
10533,JPEURUS@EC2509A
10534,JP-S&P @EC2509A
10535,JP-DJIA@EC2509A
10536,JPNQ100@EC2509A
10539,BP-OIL @EC2511A
10540,BP-OIL @EP2511A
10541,UB-DJIA@EC2509A
10543,MSNQ100@EC2509A
10544,MS-DJIA@EC2509A
10545,JPYENHK@EC2512A
10547,JPGBPHK@EP2509A
10549,JPUSCNH@EP2509A
10550,JPUSCNH@EC2509A
10552,HSNQ100@EC2509A
10553,SGNQ100@EC2509A
10554,JPNQ100@EC2509B
10555,JPAUDHK@EP2511A
10556,JPAUDHK@EC2511A
10557,SG-MSFT@RC2509A
10558,JPNQ100@EP2509A
10559,UBNQ100@EC2509B
10560,UBNQ100@EP2509A
10561,SGNQ100@EP2509A
10562,MSNQ100@EP2509A
10564,HSNQ100@EP2509A
10565,JP-DJIA@EP2509A
10566,UB-DJIA@EP2509A
10567,HS-DJIA@EC2509A
10568,HS-DJIA@EP2509A
10570,SG-DJIA@EC2509A
10571,SGALPBE@RC2510A
10572,SG-AMD @RC2512A
10573,SG-NVDA@RC2510A
10574,MS-DJIA@EP2509A
10575,JPEURUS@EP2509A
10576,JPEURUS@EC2509B
10579,SG-META@RC2510A
10580,SG-AMZN@RC2510A
10581,SG-NVDA@RP2510A
10582,JP-N225@EC2509A
10583,JP-N225@EP2509A
10584,JP-N225@EP2509B
10586,JPCNHHK@EP2509B
10587,JPCNHHK@EC2509B
10588,JPUSYEN@EC2509B
10589,JPGBPUS@EP2509A
10590,JPGBPHK@EP2509B
10591,SG-TSLA@RC2509A
10592,MS-N225@EP2509A
10593,MS-N225@EP2509B
10595,MS-N225@EC2509B
10596,UB-N225@EC2509A
10598,UB-N225@EP2509A
10599,UB-N225@EP2509B
10600,BP-GOLD@EC2509A
10601,JPEURHK@EC2509A
10602,JPEURHK@EP2509A
10603,JPYENHK@EP2512A
10604,SG-TSLA@RP2509A
10605,BPYENHK@EC2511A
10606,BPYENHK@EP2511A
10607,JPYENHK@EP2511A
10608,JPYENHK@EC2511A
10609,JPNQ100@EP2512A
10610,JP-S&P @EP2512A
10611,JP-DJIA@EP2512A
10612,UB-DJIA@EP2512A
10613,UBNQ100@EP2512A
10614,SGAPPLE@RC2510A
10615,SG-NVDA@RC2511A
10616,SGNQ100@EC2512A
10617,SG-S&P @EC2512A
10618,JPAUDHK@EC2512A
10619,JP-S&P @EC2512A
10620,JPNQ100@EC2512A
10621,JPNQ100@EP2512B
10622,JP-DJIA@EC2512A
10623,JP-DJIA@EP2512B
10624,JP-S&P @EP2512B
10625,BPUSYEN@EP2511A
10626,BPUSYEN@EC2511A
10627,BPUSCNH@EP2511A
10628,BPUSCNH@EC2511A
10629,JPEURUS@EC2511A
10630,JPEURUS@EP2511A
10631,MSNQ100@EP2512A
10632,MSNQ100@EP2512B
10633,MSNQ100@EC2512A
10634,MSNQ100@EC2512B
10635,MS-S&P @EC2512A
10636,MS-S&P @EP2512A
10637,BP-GOLD@EC2512A
10638,UBNQ100@EP2512B
10639,UBNQ100@EC2512A
10640,UBNQ100@EC2512B
10641,UB-DJIA@EC2512A
10642,UB-DJIA@EP2512B
10643,UB-DJIA@EC2512B
10644,HSNQ100@EP2512A
10645,HS-DJIA@EP2512A
10646,HSNQ100@EC2512A
10647,JPUSYEN@EC2511A
10648,SG-S&P @EP2512A
10649,SG-DJIA@EP2512A
10650,SGNQ100@EP2512A
10651,BPYENHK@EC2512A
10652,BPYENHK@EC2510A
10653,BPYENHK@EC2509A
10654,JPCADHK@EC2511A
10655,JPCADHK@EP2511A
10656,JPUSYEN@EP2510A
10657,JPYENHK@EC2510A
10658,MS-DJIA@EP2512A
10659,MS-DJIA@EP2512B
10660,MS-DJIA@EC2512A
10661,MS-DJIA@EC2512B
10662,HSNQ100@EC2512B
10663,HS-DJIA@EC2512A
10664,BP-GOLD@EC2601A
10665,BPEURUS@EC2511A
10666,BPEURUS@EP2511A
10667,BP-N225@EC2512A
10668,BP-N225@EC2512B
10669,BP-N225@EP2512A
10670,BP-N225@EP2512B
10671,UB-N225@EC2512A
10672,UB-N225@EC2512B
10673,UB-N225@EP2512A
10674,UB-N225@EP2512B
10675,JP-N225@EC2512A
10676,JP-N225@EP2512A
10677,JP-N225@EP2512B
10678,SGAPPLE@RP2512A
10679,BP-GOLD@EP2512A
10680,HS-DJIA@EC2512B
10681,HS-DJIA@EP2512B
10682,MS-S&P @EP2512B
10683,MS-N225@EC2512A
10684,MS-N225@EC2512B
10685,MS-N225@EP2512A
10686,MS-N225@EP2512B
10687,HSNQ100@EP2512B
10688,SG-TSLA@RC2512A
10689,JPUSYEN@EP2512A
10690,JPGBPUS@EC2512A
10691,JPGBPUS@EP2512A
10692,SG-TSLA@RP2512A
10693,JPYENHK@EC2603A
10694,BPYENHK@EC2603A
10695,BPUSYEN@EP2512A
10696,JPGBPHK@EC2512A
10697,JPGBPHK@EP2512A
10698,JPEURHK@EC2512A
10699,JPEURHK@EP2512A
10700,SG-AMZN@RP2603A
10701,JP-N225@EP2512C
10702,JP-N225@EC2512B
10703,UB-N225@EP2512C
10704,UB-N225@EC2512C
10705,UB-N225@EC2512D
10706,MS-N225@EP2512C
10707,MS-N225@EC2512C
10708,JPEURUS@EC2601A
10709,JPUSYEN@EC2512A
10710,JPEURUS@EP2601A
10711,JPUSCNH@EC2603A
10712,SG-N225@EP2512A
10713,JPCNHHK@EP2603A
10714,SG-NVDA@RP2602A
10715,SG-MSFT@RP2603A
10716,SGALPBE@RP2603A
10717,JPCNHHK@EC2603A
10718,JPUSCNH@EP2603A
10719,BP-OIL @EP2603A
10720,JPYENHK@EC2512B
10721,SG-NVDA@RC2601A
10722,JPGBPUS@EC2601A
10723,JPEURUS@EC2601B
10724,JPYENHK@EP2601A
10725,JP-DJIA@EP2603A
10726,JPNQ100@EP2603A
10728,SG-DJIA@EC2512A
10729,MSNQ100@EP2603A
10730,MS-DJIA@EP2603A
10731,UBNQ100@EP2603A
10732,UB-DJIA@EP2603A
10733,HSNQ100@EP2603A
10734,HS-DJIA@EP2603A
10735,SGNQ100@EP2603A
10736,SG-DJIA@EP2603A
10737,JP-S&P @EC2603A
10738,JP-S&P @EP2603A
10739,JPNQ100@EC2603A
10740,JP-DJIA@EC2603A
10741,JPUSYEN@EP2602A
10742,UBNQ100@EC2603A
10743,UB-DJIA@EC2603A
10744,SG-MSFT@RC2603A
10745,MS-S&P @EC2603A
10746,MS-S&P @EP2603A
10747,MSNQ100@EC2603A
10748,MS-DJIA@EC2603A
10749,BPNQ100@EC2603A
10750,BPNQ100@EP2603A
10751,HSNQ100@EC2603A
10752,JP-N225@EP2603A
10753,JP-N225@EC2603A
10754,BPUSYEN@EP2602A
10755,JPUSYEN@EP2602B
10756,SG-N225@EP2603A
10757,SG-META@RP2604A
10758,SGAPPLE@RC2603A
10759,SGALPBE@RC2604A
10760,SG-AMD @RC2606A
10761,UB-N225@EP2603A
10762,UB-N225@EP2603B
10763,UB-N225@EP2603C
10764,UB-N225@EC2603A
10765,UB-N225@EC2603B
10768,UB-N225@EC2603C
10769,JP-N225@EP2603B
10770,JP-N225@EP2603C
10771,JP-N225@EC2603B
10772,SGNQ100@EC2603A
10773,MS-N225@EC2603A
10774,MS-N225@EP2603A
10775,MS-N225@EP2603B
10776,MS-N225@EC2603B
10777,SG-AMD @RP2606A
10778,BPUSCNH@EC2605A
10779,BPUSCNH@EP2605A
10780,BPEURUS@EC2603A
10781,BPEURUS@EP2603A
10782,BP-GOLD@EC2603A
10783,BP-OIL @EC2603A
10784,JPGBPUS@EP2603A
10785,JPYENHK@EP2603A
10786,JPEURUS@EP2603A
10787,JPUSYEN@EC2603A
10788,JPUSYEN@EP2603A
10789,JPGBPUS@EC2603A
10790,JPEURUS@EC2603A
10791,JPAUDHK@EP2603A
10792,JPAUDHK@EC2603A
10793,SGAPPLE@RP2603A
10900,SGTSLA@RC2606A$
10901,SGTSLA@RP2612A$
10902,SGNVDA@RC2605A$
10903,SGNVDA@RP2612A$
11384,SG-CRRC@EC2509A
12981,CTTENCT@EC2512A
13004,JP-SUNY@EP2512A
13007,HSTENCT@EC2509B
13010,UBTENCT@EC2509B
13011,HUXIAMI@EC2510A
13013,HSALIBA@EC2509F
13015,HSTENCT@EC2509C
13027,BPJDCOM@EC2510A
13033,CI-CICC@EC2509A
13039,JPXIAMI@EC2612A
13044,GJTENCT@EC2509B
13048,MB-CSPC@EC2602A
13049,MBPINAN@EC2602A
13050,MB-CGS @EC2608A
13053,BITENCT@EC2509D
13059,CI-AAC @EC2510A
13069,JPSPDRG@EC2603A
13072,JP-CMOB@EC2510A
13076,MB-ZGHL@EC2602A
13083,UB-TRIP@EC2512A
13086,HS-NIO @EC2510A
13093,DSALIBA@EC2509A
13095,MSXIAMI@EC2612A
13105,CTTENCT@EC2601A
13108,JP-CCB @EC2605A
13110,CT-CMOB@EC2512A
13111,CTLENOV@EC2606A
13112,CTALIBA@EC2512A
13114,CT-TRIP@EC2512A
13117,GJ-CMOB@EC2510A
13118,GJALIBA@EC2512A
13119,GJXIAMI@EC2509A
13125,MSTENCT@EC2509D
13134,DS-MNSO@EC2509A
13135,UBXIAMI@EC2612A
13138,CT-CTWR@EC2609A
13139,CT-SUNY@EC2509B
13144,CTAIRCN@EC2510A
13145,CT-CCB @EC2605A
13147,CTXIAMI@EC2612A
13149,CTBYDEI@EC2609A
13152,SGGEELY@EC2510A
13153,SGTENCT@EC2509A
13157,BIPOMRT@EC2512A
13158,BI-SMIC@EC2509D
13159,HUTENCT@EC2509A
13161,BPTENCT@EC2509D
13164,DSTENCT@EP2510A
13166,CIALIBA@EP2604A
13167,CI-GDS @EC2602A
13170,CILENOV@EC2510A
13174,JP-SUNY@EC2509C
13177,SGPOMRT@EC2511A
13185,BIXIAMI@EP2511A
13186,BIXIAMI@EC2612A
13188,JPLENOV@EC2606A
13189,CI-LEAP@EC2512A
13190,CISANDS@EC2509B
13191,CIPOMRT@EC2509B
13192,CIHUAHO@EC2509A
13195,UBALIBA@EC2509F
13196,SG-SMIC@EP2609A
13199,HUALIBA@EC2509A
13200,HS-SMIC@EC2608A
13204,BPXIAMI@EC2612A
13205,CI-WPC @EC2512A
13210,CI-SMIC@EC2606A
13212,UBLENOV@EC2606A
13220,GJXIAMI@EC2612A
13221,SGHUAHO@EC2509A
13222,SG-CCB @EC2605A
13231,BI-HKEX@EC2509B
13233,HSALIBA@EP2604A
13236,CT-SMIC@EP2609A
13237,CTMTUAN@EC2509C
13239,MS-HSBC@EP2509A
13244,JPALIBA@EP2603A
13248,GJ-SMIC@EC2604A
13249,MB-ZTE @EC2510A
13258,UB-HSBC@EP2509A
13262,JP-HSBC@EP2509A
13263,JPTENCT@EC2509C
13265,SG-HSBC@EP2509A
13267,SGALIBA@EC2512B
13268,SGMTUAN@EC2509C
13270,MB-BILI@EC2510A
13271,UBXIAMI@EP2509A
13276,DS-HSBC@EP2509A
13277,CT-SMIC@EC2603A
13282,HSMTUAN@EC2512A
13285,SGMTUAN@EC2509D
13286,DSMTUAN@EC2509A
13291,MB-CICC@EC2512A
13292,BP-HKEX@EC2511A
13297,UB-SMIC@EP2609A
13298,SG-SMIC@EC2512A
13302,CTALIBA@EC2512B
13305,CT-HSBC@EP2509A
13306,CI-SMIC@EC2603A
13307,CI-ZTE @EC2612A
13311,JPZIJIN@EC2509A
13315,UBALIBA@EP2603A
13316,UB-SUNY@EP2512A
13317,CI-SMIC@EP2609A
13318,JPXIAMI@EP2509A
13323,MB-SUNY@EC2601A
13325,CTTRSKY@EC2509A
13327,CT-ZTE @EC2610A
13328,MS-SUNY@EC2509A
13331,JPMTUAN@EC2509D
13332,MS-HSI @EP2510A
13334,MSPINAN@EC2512A
13340,UB-SMIC@EC2603A
13341,UB-SMIC@EC2512A
13350,MSALIBA@EP2603A
13351,BIBYDEI@EC2609A
13353,BI-CKA @EC2510A
13354,BI-ZTE @EC2612A
13355,BIXIAMI@EC2509D
13356,BI-SMIC@EP2609A
13357,CIALIBA@EC2510A
13361,MSJDCOM@EC2510A
13363,MSXIAMI@EP2509A
13365,UBMTUAN@EC2509D
13373,JPJDCOM@EC2510A
13380,CTMTUAN@EC2509D
13382,GJ-AIA @EC2509B
13383,GJ-HSBC@EP2509A
13385,BIXIAMI@EC2510A
13386,BIXIAMI@EP2510A
13387,BI-SMIC@EC2511A
13388,BI-BYD @EC2509A
13389,BI-BYD @EP2510B
13390,HS-SMIC@EP2609A
13391,HSXIAMI@EP2509B
13393,HUXPENG@EP2509A
13397,BP-HSBC@EC2510C
13398,BPTENCT@EC2509E
13399,BP-HKEX@EC2509A
13405,UB-HSI @EP2509A
13406,UBJDCOM@EC2510A
13407,UB-CCB @EC2605A
13409,JPALIBA@EC2512C
13414,HSALIBA@EC2603A
13415,HSMTUAN@EC2509E
13426,HUALIBA@EC2511A
13428,HUKUASO@EP2510A
13429,HUXIAMI@EP2510A
13430,HU-WUXI@EP2510A
13431,HUPOMRT@EP2510A
13435,DSSPDRG@EC2603A
13437,MS-HSI @EP2509A
13440,HUANTAS@EC2512A
13446,UBALIBA@EC2512C
13449,CTALIBA@EC2512C
13450,MB-SMIC@EC2512A
13451,MBSENTM@EC2602A
13452,MBPETCH@EC2512A
13453,MB-SMIC@EP2604A
13454,MBFUYAO@EC2609A
13455,MBXIAMI@EC2509A
13456,MB-GWMC@EC2609A
13457,MBMEITU@EC2510A
13459,HSTENCT@EC2512B
13462,HS-SMIC@EC2512A
13464,CIKINGD@EC2510A
13465,CI-GEG @EC2510A
13467,CILENOV@EC2512A
13468,BIALIBA@EC2512C
13471,GJALIBA@EC2601A
13473,GJXIAMI@EC2510A
13474,HU-SUNY@EC2512A
13475,HU-SUNY@EP2512A
13478,HU-AIA @EP2512A
13479,HU-BYD @EP2509A
13482,MS-SUNY@EP2512A
13483,MS-CCB @EC2605A
13485,MSALIBA@EC2510A
13486,MBBYDEI@EC2601A
13488,HS-HKEX@EC2512B
13489,HSJDCOM@EC2510A
13490,HS-HSI @EP2509A
13491,CISDGLD@EC2512A
13492,CIJDCOM@EC2510A
13498,BP-AIA @EC2510B
13504,UB-AIA @EC2509B
13506,UBSPDRG@EC2603A
13511,SG-HSI @EP2509A
13515,CI-SUNY@EC2510A
13517,CI-HKEX@EC2509B
13518,BICLIFE@EC2511A
13520,BIALIBA@EC2603A
13524,CI-BYD @EC2509A
13526,CIGEELY@EP2510A
13528,CIGEELY@EC2512A
13529,BPALIBA@EC2603A
13532,BP-SMIC@EC2512A
13536,HUSENTM@EP2510A
13537,HUGEELY@EP2510A
13539,UB-BYD @EP2510A
13540,UBXIAMI@EP2509B
13546,CTALIBA@EP2511A
13548,CT-SMIC@EC2511A
13554,CT-PAHT@EC2609A
13556,HSTENCT@EC2509D
13557,HSAMCS3@EC2509A
13558,HSXIAMI@EC2510A
13560,HU-CMOB@EC2510B
13562,BIXIAMI@EP2509C
13564,GJMTUAN@EC2509B
13565,GJXIAMI@EP2510A
13566,GJ-SMIC@EC2511A
13568,CIXIAMI@EP2509A
13571,CIALIBA@EC2512A
13573,CIALIBA@EC2603A
13574,MS-AIA @EC2509B
13576,MS-HKEX@EC2509D
13577,CT-HSI @EP2509A
13581,SGALIBA@EP2511A
13583,HSALIBA@EP2511A
13585,HULENOV@EC2512A
13586,HUBYDEI@EC2512A
13587,HU-BILI@EC2509A
13588,HUJIANC@EC2603A
13589,JP-HSI @EP2509A
13590,JPSPDRG@EP2601A
13591,JP-ZTE @EC2611A
13596,JPCSA50@EP2510A
13598,JPXIAMI@EC2612B
13600,MBFITHT@EC2509A
13603,JP-BYD @EP2510A
13606,HS-GWMC@EC2511A
13608,UB-GWMC@EC2511A
13609,UBCITSE@EC2602A
13611,MB-SBPH@EC2510A
13614,MBNFSPR@EC2512A
13618,DSTRAHK@EP2509A
13620,MSMTUAN@EC2509E
13625,CT-HKEX@EC2509C
13628,UB-HKEX@EC2509D
13630,UBXIAMI@EC2612B
13632,HUCMOLY@EC2602A
13634,HUCSOFT@EC2512A
13635,HUSDGLD@EC2602A
13636,DSSPDRG@EP2509A
13639,CI-GWMC@EC2509A
13642,CICNOOC@EC2510A
13648,CIMTUAN@EC2509B
13652,JP-HKEX@EC2509D
13654,SG-HKEX@EC2509D
13655,SGKSOFT@EC2512A
13656,SG-SUNY@EP2512A
13658,DSALIBA@EP2512A
13660,GJ-HKEX@EC2509B
13661,MBKINGD@EC2509A
13662,MB-CUNI@EC2609A
13666,MBCSOFT@EC2509A
13669,HU-CTEL@EC2511A
13670,HU-ICBC@EC2601A
13671,HU-BYD @EC2509A
13676,MSXIAMI@EP2509B
13683,MSALIBA@EC2512C
13687,BIALIBA@EC2603B
13689,BI-SMIC@EP2608A
13690,BIXIAMI@EC2510B
13691,BI-BYD @EP2510C
13692,BI-BYD @EC2511A
13693,BI-HKEX@EC2509C
13694,BITENCT@EP2509A
13695,BI-SUNY@EC2510A
13698,UB-SMIC@EP2512A
13703,UB-SMIC@EC2511A
13706,UBLENOV@EP2511A
13707,CTCLIFE@EP2511A
13710,HS-BYD @EC2510A
13713,HSTENCT@EC2512C
13715,HSXIAMI@EP2509C
13716,SG-SMIC@EC2511A
13722,JPXIAMI@EC2509A
13728,CI-BYD @EC2512A
13729,MBVANKE@EC2509A
13730,CIXIAMI@EC2509A
13731,CI-SMIC@EC2512A
13732,CIBYDEI@EC2511A
13733,CI-SMIC@EP2601A
13734,CILENOV@EP2601A
13740,GJTENCT@EC2601A
13744,BIMTUAN@EP2510A
13747,CICSHST@EP2509A
13749,CIKUASO@EP2509A
13752,HSTENCT@EC2510A
13757,UBXIAMI@EC2509A
13762,UBMTUAN@EC2512A
13767,CT-CUNI@EC2509B
13768,JPLENOV@EP2510A
13771,JPBYDEI@EC2509A
13773,JP-SMIC@EC2511A
13778,SGBYDEI@EC2606A
13779,SG-SMIC@EC2509B
13780,SGALIBA@EC2509D
13790,BPMTUAN@EC2509B
13793,MB-ZAOL@EC2510A
13795,MB-BILI@EP2510A
13797,GJJDCOM@EC2510A
13799,GJ-HSBC@EC2509A
13802,GJMTUAN@EC2512A
13808,HU-SMIC@EC2512A
13813,UBMTUAN@EC2509E
13814,UBPINAN@EC2512A
13815,UBSPDRG@EP2509A
13816,UBALIBA@EP2512B
13826,CIMEITU@EC2510A
13827,CI-WUXI@EC2510A
13842,JPMTUAN@EC2509E
13843,JPALIBA@EC2509F
13845,HSSPDRG@EP2509A
13847,JPKSOFT@EC2512A
13873,BITENCT@EC2509E
13877,BP-BYD @EC2512A
13878,BPALIBA@EC2510C
13881,CIPINAN@EC2509A
13885,HUTENCT@EP2509A
13886,MSHSTEC@EC2509A
13888,MSPINAN@EC2510A
